empID,empName,uan,dept,designation,pay,gp,pf,bankAccNum,bankName,doj,salaryCategory,emailID,groupInsurance,payBand,branchName,ifscCode,designationCategory,emailID2,nonteach,Subject,cca,ta,dop,doc,appointment,category,gender,status,mobile,address_correspondence,address_permanent,mis,biometric,vacation,seniority,dept_seniority,aadhar,Pan_No,onrole,phd,phdSub,phdUni,phdInsti,phdYr,pgSub,pgUni,pgYr,ugSub,ugUni,ugYr,grade,netset,othqual,exp,industry_exp,uni_approval,uni_app_date,uni_app_period,workexNT,dob,investment,emp_temp_regime,age,photo
1,Kshitij,100243255858,,Professor,67000,10000,1800,8220100012345,Janata Sahakari Bank Pune,12/10/2013,Pay Scale,kshitij.deshpande7@gmail.com,0,67000-79000,Warje,JSBP0012140,Teaching,kshitij.deshpande7@pict.edu,no,,240,1600,05/10/2020 0:00,05/10/2020 0:00,permanent,open,male,married,1234567891,"Flat no.123, A wing, B Society, Pune-411040","A/P-Narhe, Tal-Haveli, Dist-Pune-411041",EMP123,EMP123,Yes,,,123456789012,ABCDE1234D,,Awarded,Computer Engineering,SPPU Pune,PICT Pune,2018,,,2020,Computer Engineering,SPPU Pune,2015,A,NA,,5,6,5,05/10/2020 0:00,1,1,05/10/2020 0:00,125042,New  Regisme,40,
2,Ramesh,100243255859,Computer,Professor,53000,9000,1800,8220100012350,Janata Sahakari Bank Pune,10/10/2017,Pay Scale,ramesh@gmail.com,0,37400-67000,Kothrud,JSBP0012140,Teaching,ramesh@gmail.com,no,,240,1600,31/12/2020 0:00,31/12/2020 0:00,permanent,open,male,married,1234567892,"Flat no.123, A wing, B Society, Pune-411041","A/P-Narhe, Tal-Haveli, Dist-Pune-411042",EMP124,EMP124,Yes,,,123457789013,ABCDE5678Z,,,,,,,,,,,,,,NA,,5,6,5,31/12/2020 0:00,1,1,31/12/2020 0:00,0,Old Regime,40,
3,kdd,100243255860,E&TC,Associate Professor,37400,7000,1800,8220100012355,Janata Sahakari Bank Pune,10/01/2013,Pay Scale,kdd@gmail.com,0,37400-67000,Dhankawadi,JSBP0012140,Teaching,kdd@gmail.com,no,,240,1600,02/08/2021 0:00,02/08/2021 0:00,permanent,open,male,married,1234567893,"Flat no.123, A wing, B Society, Pune-411042","A/P-Narhe, Tal-Haveli, Dist-Pune-411043",EMP125,EMP125,Yes,,,123458789014,ABCDE1234D,,,,,,,,,,,,,,NA,,5,6,5,02/08/2021 0:00,1,1,02/08/2021 0:00,15200,Old Regime,40,
4,abc,100243255861,comp,Assistant Professor,15600,6000,1800,8220100012360,Janata Sahakari Bank Pune,05/07/2021,Pay Scale,abc@gmail.com,0,15600-39100,Warje,JSBP0012140,Teaching,abc@gmail.com,no,,240,1600,05/07/2021 0:00,05/07/2021 0:00,permanent,open,male,married,1234567894,"Flat no.123, A wing, B Society, Pune-411043","A/P-Narhe, Tal-Haveli, Dist-Pune-411044",EMP126,EMP126,Yes,,,123459789015,ABCDE5678Z,,,,,,,,,,,,,,NA,,5,6,5,05/07/2021 0:00,1,1,05/07/2021 0:00,0,Old Regime,40,
5,abcd,100243255862,IT,Workshop Superintendent,16250,6000,1800,8220100012365,Janata Sahakari Bank Pune,15/02/2015,Pay Scale,abcd@gmail.com,0,15600-39100,Kothrud,JSBP0012140,Teaching,abcd@gmail.com,no,,240,1600,23/08/2021 0:00,23/08/2021 0:00,permanent,open,male,married,1234567895,"Flat no.123, A wing, B Society, Pune-411044","A/P-Narhe, Tal-Haveli, Dist-Pune-411045",EMP127,EMP127,Yes,,,123460789016,ABCDE1234D,,,,,,,,,,,,,,NA,,5,6,5,23/08/2021 0:00,1,1,23/08/2021 0:00,78500,Old Regime,40,
6,Raj Sharma,100243255863,IT,Lecturer (Sr. Scale),15600,6000,1800,8220100012370,Janata Sahakari Bank Pune,02/01/2013,Pay Scale,kshitij.deshpande7@gmail.com,0,15600-39100,Warje,JSBP0012140,Teaching,kshitij.deshpande7@gmail.com,no,,240,1600,,,permanent,SC,female,married,1234567896,"Flat no.123, A wing, B Society, Pune-411045","A/P-Narhe, Tal-Haveli, Dist-Pune-411046",EMP128,EMP128,Yes,,,123461789017,ABCDE5678Z,,,,,,,,,,,,,,NA,,5,6,,,,,,0,Old Regime,,
7,Sharad Gandhi,100243255864,FE,Lecturer,15600,6000,1800,8220100012375,Janata Sahakari Bank Pune,10/01/2020,Pay Scale,ramesh@gmail.com,0,15600-39100,Kothrud,JSBP0012140,Non-Teaching,ramesh@gmail.com,yes,Physics,150,200,,,permanent,ST,male,married,1234567897,"Flat no.123, A wing, B Society, Pune-411046","A/P-Narhe, Tal-Haveli, Dist-Pune-411047",EMP129,EMP129,Yes,,,123462789018,ABCDE1234D,,,,,,,,,,,,,,NA,,5,6,,,,,,12520,Old Regime,,
8,Danish D'Souza,100243255865,Administration,Registrar,15600,6000,1800,8220100012380,Janata Sahakari Bank Pune,01/01/2013,Pay Scale,kdd@gmail.com,1000,15600-39101,Dhankawadi,JSBP0012140,Non-Teaching,kdd@gmail.com,yes,,150,200,,,permanent,NT,female,married,1234567898,"Flat no.123, A wing, B Society, Pune-411047","A/P-Narhe, Tal-Haveli, Dist-Pune-411048",EMP130,EMP130,Yes,,,123463789019,ABCDE5678Z,,,,,,,,,,,,,,NA,,5,6,,,,,,0,Old Regime,,
9,Pawan Patil,100243255866,Library,Librarian,16250,6000,1800,8220100012385,Janata Sahakari Bank Pune,05/07/2021,Pay Scale,abc@gmail.com,1200,15600-39102,Warje,JSBP0012140,Non-Teaching,abc@gmail.com,yes,,150,200,,,permanent,open,male,married,1234567899,"Flat no.123, A wing, B Society, Pune-411048","A/P-Narhe, Tal-Haveli, Dist-Pune-411049",EMP131,EMP131,Yes,,,123464789020,ABCDE1234D,,,,,,,,,,,,,,NA,,5,6,,,,,,0,Old Regime,,
10,Rijo Paul,100243255867,Administration,Office Superintendent,16250,6000,1800,8220100012390,Janata Sahakari Bank Pune,15/07/2015,Pay Scale,abcd@gmail.com,1000,15600-39103,Kothrud,JSBP0012140,Non-Teaching,abcd@gmail.com,yes,,150,200,,,permanent,open,female,married,1234567900,"Flat no.123, A wing, B Society, Pune-411049","A/P-Narhe, Tal-Haveli, Dist-Pune-411050",EMP132,EMP132,Yes,,,123465789021,ABCDE5678Z,,,,,,,,,,,,,,NA,,5,6,,,,,,0,Old Regime,,
