empID,empName,uan,dept,designation,pay,gp,pf,bankAccNum,bankName,doj,salaryCategory,emailID,groupInsurance,payBand,branchName,ifscCode,designationCategory,emailID2,nonteach,Subject,cca,ta,dop,doc,appointment,category,gender,status,mobile,address_correspondence,address_permanent,vacation,seniority,dept_seniority,aadhar,Pan_No,onrole,phd,phdSub,phdUni,phdInsti,phdYr,pgSub,pgUni,pgYr,ugSub,ugUni,ugYr,grade,netset,othqual,exp,industry_exp,uni_approval,uni_app_date,uni_app_period,workexNT,dob,emp_temp_regime,photo,paycommission
EMP123,Deepa amin,1.00E+11,CE,Professor,67000,10000,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,kshitij.deshpande7@gmail.com,0,67000-79000,Warje,JSBP0012140,Teaching,kshitij.deshpande7@pict.edu,no,null,240,1600,23-08-2021,23-08-2021,permanent,open,male,married,1234567891,"Flat no.123, A wing, B Society, Pune-411040","A/P-Narhe, Tal-Haveli, Dist-Pune-411041",Yes,1,1,1.23E+11,ABCDE1234D,Yes,Awarded,Computer Engineering,SPPU Pune,PICT Pune,2018,Computer Engineering,SPPU Pune,2013,Computer Engineering,SPPU Pune,2010,A,no,,15,6,CC0/AAP/12345,05-10-2013,12,0,05-10-1975 00:00,new,,6th 
EMP124,PQR,1.00E+11,CE,Professor,53000,9000,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,ramesh@gmail.com,0,37400-67000,Kothrud,JSBP0012140,Teaching,ramesh@gmail.com,no,,240,1600,24-08-2021,24-08-2021,permanent,open,male,married,1234567892,"Flat no.123, A wing, B Society, Pune-411041","A/P-Narhe, Tal-Haveli, Dist-Pune-411042",Yes,2,2,1.23E+11,ABCDE5678Z,Yes,Awarded,Computer Engineering,SPPU Pune,PICT Pune,2018,Computer Engineering,SPPU Pune,2013,Computer Engineering,SPPU Pune,2010,A,no,,10,2,CC0/AAP/1234,05-10-2014,10,1,05-10-1975 00:01,old,,6th 
EMP125,UVW,1.00E+11,E&TC,Associate Professor,37400,7000,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,kdd@gmail.com,0,37400-67000,Dhankawadi,JSBP0012140,Teaching,kdd@gmail.com,no,,240,1600,25-08-2021,25-08-2021,permanent,open,male,married,1234567893,"Flat no.123, A wing, B Society, Pune-411042","A/P-Narhe, Tal-Haveli, Dist-Pune-411043",Yes,3,3,1.23E+11,ABCDE1234D,Yes,Awarded,Computer Engineering,SPPU Pune,PICT Pune,2018,Computer Engineering,SPPU Pune,2013,Computer Engineering,SPPU Pune,2010,A,no,,5,6,CC0/AAP/9877,05-10-2015,4,1,05-10-1975 00:02,old,,6th 
EMP126,XYZ,1.00E+11,CE,Assistant Professor,15600,6000,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,abc@gmail.com,0,15600-39100,Warje,JSBP0012140,Teaching,abc@gmail.com,no,,240,1600,26-08-2021,26-08-2021,permanent,open,male,married,1234567894,"Flat no.123, A wing, B Society, Pune-411043","A/P-Narhe, Tal-Haveli, Dist-Pune-411044",Yes,4,4,1.23E+11,ABCDE5678Z,Yes,Awarded,Computer Engineering,SPPU Pune,PICT Pune,2018,Computer Engineering,SPPU Pune,2013,Computer Engineering,SPPU Pune,2010,A,no,,5,6,CC0/AAP/20988,05-10-2016,5,1,05-10-1975 00:03,old,,6th 
EMP127,Aman kor,1.00E+11,IT,Workshop Superintendent,16250,6000,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,abcd@gmail.com,0,15600-39100,Kothrud,JSBP0012140,Teaching,abcd@gmail.com,no,,240,1600,27-08-2021,27-08-2021,permanent,open,male,married,1234567895,"Flat no.123, A wing, B Society, Pune-411044","A/P-Narhe, Tal-Haveli, Dist-Pune-411045",Yes,5,1,1.23E+11,ABCDE1234D,Yes,,,,,2019,,,2014,,,2010,,no,,5,6,CC0/AAP/32099,05-10-2017,7,1,05-10-1975 00:04,old,,6th 
EMP128,Raj Sharma,1.00E+11,IT,Lecturer (Sr. Scale),15600,6000,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,kshitij.deshpande7@gmail.com,0,15600-39100,Warje,JSBP0012140,Teaching,kshitij.deshpande7@gmail.com,no,,240,1600,28-08-2021,28-08-2021,permanent,SC,female,married,1234567896,"Flat no.123, A wing, B Society, Pune-411045","A/P-Narhe, Tal-Haveli, Dist-Pune-411046",Yes,6,2,1.23E+11,ABCDE5678Z,Yes,,,,,2020,,,2015,,,2010,,no,,5,6,CC0/AAP/43210,05-10-2018,8,1,05-10-1975 00:05,old,,6th 
EMP129,Sharad Gandhi,1.00E+11,IT,Lecturer,15600,6000,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,ramesh@gmail.com,0,15600-39100,Kothrud,JSBP0012140,Non-Teaching,ramesh@gmail.com,yes,,240,1600,29-08-2021,29-08-2021,permanent,ST,male,married,1234567897,"Flat no.123, A wing, B Society, Pune-411046","A/P-Narhe, Tal-Haveli, Dist-Pune-411047",Yes,7,3,1.23E+11,ABCDE1234D,Yes,,,,,2021,,,2016,,,2010,,no,,5,6,CC0/AAP/54321,05-10-2019,9,1,05-10-1975 00:06,old,,6th 
EMP130,Danish D'Souza,1.00E+11,Administration,Registrar,15600,6000,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,kdd@gmail.com,1000,15600-39100,Dhankawadi,JSBP0012140,Non-Teaching,kdd@gmail.com,yes,,150,200,30-08-2021,30-08-2021,permanent,NT,female,married,1234567898,"Flat no.123, A wing, B Society, Pune-411047","A/P-Narhe, Tal-Haveli, Dist-Pune-411048",Yes,8,4,1.23E+11,ABCDE5678Z,Yes,,,,,2022,,,2017,,,2010,,no,,5,6,CC0/AAP/54322,05-10-2020,11,1,05-10-1975 00:07,old,,6th 
EMP131,Pawan Patil,1.00E+11,Library,Librarian,16250,6000,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,abc@gmail.com,1200,15600-39100,Warje,JSBP0012140,Non-Teaching,abc@gmail.com,yes,,150,200,31-08-2021,31-08-2021,permanent,open,male,married,1234567899,"Flat no.123, A wing, B Society, Pune-411048","A/P-Narhe, Tal-Haveli, Dist-Pune-411049",Yes,9,1,1.23E+11,ABCDE1234D,Yes,,,,,2023,,,2018,,,2010,,no,,5,6,CC0/AAP/54323,05-10-2021,10,1,05-10-1975 00:08,old,,6th 
EMP132,Rijo Paul,1.00E+11,Administration,Office Superintendent,16250,6000,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,abcd@gmail.com,1000,15600-39100,Kothrud,JSBP0012140,Non-Teaching,abcd@gmail.com,yes,,150,200,23-08-2021,23-08-2021,permanent,open,female,married,1234567900,"Flat no.123, A wing, B Society, Pune-411049","A/P-Narhe, Tal-Haveli, Dist-Pune-411050",Yes,10,2,1.23E+11,ABCDE5678Z,Yes,,,,,2024,,,2019,,,2010,,no,,5,6,CC0/AAP/54324,05-10-2022,8,1,05-10-1975 00:09,old,,6th 
